"Character name	title	descriptions	attributes	agent_verbs	patient_verbs	tsne_1_weighted_descriptions_embeddings	tsne_2_weighted_descriptions_embeddings	tsne_3_weighted_descriptions_embeddings	labels"
"Christopher Isherwood	['artist']	['try', 'welcome', 'communicate', 'prepare', 'take', 'promise', 'begin', 'espy', 'look', 'suggest', 'offer', 'meet', 'refuse', 'take', 'see', 'decide', 'find', 'horrify', 'meet', 'return', 'entreat', 'remain', 'publish', 'see', 'commit', 'take', 'secure', 'leave', 'communicate', 'family', 'death', 'life', 'artist']	['family', 'death', 'life']	['try', 'welcome', 'communicate', 'prepare', 'take', 'promise', 'begin', 'espy', 'look', 'suggest', 'offer', 'meet', 'refuse', 'take', 'see', 'decide', 'find', 'horrify', 'meet', 'return']	['entreat', 'remain', 'publish', 'see', 'commit', 'take', 'secure', 'leave', 'communicate']	-9.8882885	-34.18862	9.17448	0"
"Jean Ross	['actress']	['confide', 'court', 'welcome', 'leave', 'bereft', 'pregnant', 'actress']	['bereft', 'pregnant']	['confide', 'court', 'welcome']	['leave']	4.1574693	-35.950245	-7.5256925	1"
"Jules Hilbert	['professor']	['label', 'make', 'read', 'recognize', 'comfort', 'encourage', 'reveal', 'come', 'give', 'believe', 'return', 'confirm', 'advice', 'admirer', 'advice', 'professor']	['advice', 'admirer', 'advice']	['label', 'make', 'read', 'recognize', 'comfort', 'encourage', 'reveal', 'come', 'give', 'believe', 'return', 'confirm']		-25.634892	-5.04329	23.087276	11"
"Karen Eiffel	['author']	['struggle', 'return', 'learn', 'admit', 'continue', 'research', 'identify', 'identify', 'find', 'complete', 'write', 'manuscript', 'voice', 'work', 'masterpiece', 'unable', 'author']	['manuscript', 'voice', 'work', 'masterpiece', 'unable']	['struggle', 'return', 'learn', 'admit', 'continue', 'research', 'identify']	['identify', 'find', 'complete', 'write']	-19.641973	-22.457914	-9.82636	41"
"Reiko Asakawa	['reporter']	['enlist', 'find', 'discover', 'realize', 'go', 'see', 'travel', 'create', 'see', 'curse', 'picture', 'picture', 'objection', 'reporter']	['picture', 'picture', 'objection']	['enlist', 'find', 'discover', 'realize', 'go', 'see', 'travel', 'create']	['see', 'curse']	-32.205864	-15.260874	-5.2220373	2"
"Tomoko Ôishi		['girl', 'reveal', 'die', 'kill', 'fat', 'die', 'photo', 'teenager']	['photo', 'teenager']	['girl', 'reveal', 'die']	['kill', 'fat', 'die']	-6.0081635	-5.4490504	9.160386	48"
"Vishwam		['see', 'indulge', 'marry', 'brother', 'brother', 'shy', 'quiet', 'brother']	['brother', 'brother', 'shy', 'quiet', 'brother']	['see', 'indulge']	['marry']	12.336541	-30.71523	-1.0045139	43"
"Dylan Hunt	['scientist']	['work', 'agree', 'seal', 'ask', 'rescue', 'meet', 'appal', 'join', 'find', 'Company', 'NASA', 'time', 'dismay', 'Apartment', 'team', 'Shop', 'interference', 'NASA', 'scientist']	['Company', 'NASA', 'time', 'dismay', 'Apartment', 'team', 'Shop', 'interference', 'NASA']	['work', 'agree', 'seal']	['ask', 'rescue', 'meet', 'appal', 'join', 'find']	-32.1664	4.4303803	20.567694	3"
"Jade		['meet', 'ask', 'infiltrate', 'beat', 'fight', 'free', 'return', 'walk', 'receive', 'defeat', 'meet', 'daughter', 'palace', 'named', 'palace', 'help', 'help']	['daughter', 'palace', 'named', 'palace', 'help', 'help']	['meet', 'ask', 'infiltrate', 'beat', 'fight', 'free', 'return', 'walk', 'receive', 'defeat']	['meet']	27.755642	-24.055468	-2.0846913	4"
"Adolf Hitler	['artist', 'artist']	['close', 'survive', 'dismantle', 'connect', 'flee', 'sign', 'sign', 'praise', 'sign', 'write', 'apply', 'confront', 'attempt', 'leave', 'declare', 'feel', 'remain', 'crop', 'coerce', 'write', 'become', 'threaten', 'visit', 'go', 'combine', 'take', 'make', 'oppose', 'return', 'show', 'join', 'believe', 'hop', 'use', 'put', 'afford', 'tell', 'display', 'manage', 'warn', 'apply', 'confront', 'attempt', 'leave', 'declare', 'feel', 'remain', 'crop', 'coerce', 'write', 'become', 'threaten', 'visit', 'go', 'combine', 'take', 'make', 'oppose', 'return', 'show', 'join', 'believe', 'hop', 'use', 'put', 'afford', 'tell', 'display', 'manage', 'warn', 'approach', 'wish', 'deny', 'go', 'fail', 'leave', 'approach', 'reply', 'assassinate', 'dismantle', 'protect', 'assassinate', 'introduce', 'show', 'allow', 'inflame', 'arrest', 'resign', 'tell', 'refine', 'blind', 'despise', 'use', 'encourage', 'close', 'recover', 'embolden', 'outfox', 'escape', 'put', 'buy', 'demand', 'suppress', 'act', 'ban', 'introduce', 'show', 'allow', 'inflame', 'arrest', 'resign', 'tell', 'refine', 'blind', 'despise', 'use', 'encourage', 'close', 'recover', 'embolden', 'outfox', 'escape', 'put', 'buy', 'demand', 'suppress', 'act', 'ban', 'tap', 'go', 'join', 'urge', 'entice', 'discuss', 'assassinating', 'assassination', 'suicide', 'order', 'life', 'attempt', 'attempt', 'dead', 'alive', 'residence', 'ideology', 'relationship', 'relationship', 'behaviour', 'plan', 'father', 'speech', 'old', 'memoir', 'affection', 'newspaper', 'choice', 'enemy', 'young', 'Hogg', 'demand', 'opposition', 'favour', 'opposition', 'adult', 'life', 'strain', 'anti-semitism', 'closer', 'psychopath', 'arrogant', 'behaviour', 'plan', 'father', 'speech', 'old', 'memoir', 'affection', 'newspaper', 'choice', 'enemy', 'young', 'Hogg', 'demand', 'opposition', 'favour', 'opposition', 'adult', 'life', 'strain', 'anti-semitism', 'closer', 'psychopath', 'arrogant', 'interview', 'veteran', 'motif', 'young', 'rally', 'doubt', 'doubt', 'anti-semitism', 'artist', 'artist']	['assassinating', 'assassination', 'suicide', 'order', 'life', 'attempt', 'attempt', 'dead', 'alive', 'residence', 'ideology', 'relationship', 'relationship', 'behaviour', 'plan', 'father', 'speech', 'old', 'memoir', 'affection', 'newspaper', 'choice', 'enemy', 'young', 'Hogg', 'demand', 'opposition', 'favour', 'opposition', 'adult', 'life', 'strain', 'anti-semitism', 'closer', 'psychopath', 'arrogant', 'behaviour', 'plan', 'father', 'speech', 'old', 'memoir', 'affection', 'newspaper', 'choice', 'enemy', 'young', 'Hogg', 'demand', 'opposition', 'favour', 'opposition', 'adult', 'life', 'strain', 'anti-semitism', 'closer', 'psychopath', 'arrogant', 'interview', 'veteran', 'motif', 'young', 'rally', 'doubt', 'doubt', 'anti-semitism']	['close', 'survive', 'dismantle', 'connect', 'flee', 'sign', 'sign', 'praise', 'sign', 'write', 'apply', 'confront', 'attempt', 'leave', 'declare', 'feel', 'remain', 'crop', 'coerce', 'write', 'become', 'threaten', 'visit', 'go', 'combine', 'take', 'make', 'oppose', 'return', 'show', 'join', 'believe', 'hop', 'use', 'put', 'afford', 'tell', 'display', 'manage', 'warn', 'apply', 'confront', 'attempt', 'leave', 'declare', 'feel', 'remain', 'crop', 'coerce', 'write', 'become', 'threaten', 'visit', 'go', 'combine', 'take', 'make', 'oppose', 'return', 'show', 'join', 'believe', 'hop', 'use', 'put', 'afford', 'tell', 'display', 'manage', 'warn', 'approach', 'wish', 'deny', 'go', 'fail', 'leave', 'approach', 'reply']	['assassinate', 'dismantle', 'protect', 'assassinate', 'introduce', 'show', 'allow', 'inflame', 'arrest', 'resign', 'tell', 'refine', 'blind', 'despise', 'use', 'encourage', 'close', 'recover', 'embolden', 'outfox', 'escape', 'put', 'buy', 'demand', 'suppress', 'act', 'ban', 'introduce', 'show', 'allow', 'inflame', 'arrest', 'resign', 'tell', 'refine', 'blind', 'despise', 'use', 'encourage', 'close', 'recover', 'embolden', 'outfox', 'escape', 'put', 'buy', 'demand', 'suppress', 'act', 'ban', 'tap', 'go', 'join', 'urge', 'entice', 'discuss']	-8.7868805	-33.635284	9.210997	0"
